title,price,link,released
Fix Me Up Doc! – Dark Humor,Rp 17 499,https://store.steampowered.com/app/643700/Fix_Me_Up_Doc__Dark_Humor/?snr=1_7_7_151_150_2,"23 Jun, 2017"
ConflictCraft 2 - Game of the Year Edition,Rp 9 699Rp 4 849,https://store.steampowered.com/app/1877370/ConflictCraft_2__Game_of_the_Year_Edition/?snr=1_7_7_151_150_2,"10 Feb, 2022"
Obelixes Tower Defense,Rp 90 999,https://store.steampowered.com/app/2016140/Obelixes_Tower_Defense/?snr=1_7_7_151_150_2,"18 Jun, 2022"
Put Your Brain On,Rp 47 499Rp 4 749,https://store.steampowered.com/app/1971730/Put_Your_Brain_On/?snr=1_7_7_151_150_2,"10 May, 2022"
Shark Assault Simulator,Rp 39 999,https://store.steampowered.com/app/1948240/Shark_Assault_Simulator/?snr=1_7_7_151_150_2,"10 Jun, 2022"
Control Craft 2,Rp 37 999,https://store.steampowered.com/app/439930/Control_Craft_2/?snr=1_7_7_151_150_2,"16 Feb, 2016"
Police Hot Pursuit,Rp 56 499,https://store.steampowered.com/app/1851640/Police_Hot_Pursuit/?snr=1_7_7_151_150_2,"3 Jan, 2022"
Jetman Go,Rp 17 499,https://store.steampowered.com/app/665120/Jetman_Go/?snr=1_7_7_151_150_2,"29 Sep, 2017"
Druid,Rp 19 499Rp 3 899,https://store.steampowered.com/app/552390/Druid/?snr=1_7_7_151_150_2,"17 Jan, 2017"
School Bus Driver Simulator,Rp 39 999,https://store.steampowered.com/app/1977280/School_Bus_Driver_Simulator/?snr=1_7_7_151_150_2,"21 May, 2022"
Waves Running Simulator,Rp 338 999,https://store.steampowered.com/app/1926630/Waves_Running_Simulator/?snr=1_7_7_151_150_2,"7 Apr, 2022"
San Matias - Mafia City,Rp 8 499,https://store.steampowered.com/app/728830/San_Matias__Mafia_City/?snr=1_7_7_151_150_2,"13 Feb, 2018"
Brain Games,Rp 48 999,https://store.steampowered.com/app/1416720/Brain_Games/?snr=1_7_7_151_150_2,"7 Sep, 2021"
Control Craft 3,Rp 28 999,https://store.steampowered.com/app/490910/Control_Craft_3/?snr=1_7_7_151_150_2,"31 Dec, 2016"
Two Sedans Driving Simulator,Rp 90 999,https://store.steampowered.com/app/1917720/Two_Sedans_Driving_Simulator/?snr=1_7_7_151_150_2,"25 Mar, 2022"
The Ultimate Shot,Rp 751 999,https://store.steampowered.com/app/1917740/The_Ultimate_Shot/?snr=1_7_7_151_150_2,"15 Mar, 2022"
Hero Hunters - 杀手 3D 2K19,Rp 48 999,https://store.steampowered.com/app/869540/Hero_Hunters___3D_2K19/?snr=1_7_7_151_150_2,"13 Jun, 2018"
Space Ribbon - Slipstream to the Extreme,Rp 32 999,https://store.steampowered.com/app/501220/Space_Ribbon__Slipstream_to_the_Extreme/?snr=1_7_7_151_150_2,"4 Jan, 2019"
Arena Drift Master,Rp 209 999,https://store.steampowered.com/app/1906320/Arena_Drift_Master/?snr=1_7_7_151_150_2,"9 Mar, 2022"
Dino Zoo Transport Simulator,Rp 82 999Rp 8 299,https://store.steampowered.com/app/1155420/Dino_Zoo_Transport_Simulator/?snr=1_7_7_151_150_2,"24 Sep, 2019"
BLOCK WARRIORS: Classic Edition,Rp 8 499,https://store.steampowered.com/app/704210/BLOCK_WARRIORS_Classic_Edition/?snr=1_7_7_151_150_2,"7 Sep, 2017"
Happy Empire - A Bouquet for the Princess: Enhanced Edition,Rp 24 999,https://store.steampowered.com/app/898310/Happy_Empire__A_Bouquet_for_the_Princess_Enhanced_Edition/?snr=1_7_7_151_150_2,"12 Mar, 2019"
The Last Hope: Trump vs Mafia - North Korea,Rp 28 999,https://store.steampowered.com/app/581030/The_Last_Hope_Trump_vs_Mafia__North_Korea/?snr=1_7_7_151_150_2,"20 Jan, 2017"
Metal Commando,Rp 8 499,https://store.steampowered.com/app/1464730/Metal_Commando/?snr=1_7_7_151_150_2,"18 Nov, 2020"
Escape: Close Call,Rp 32 999,https://store.steampowered.com/app/448380/Escape_Close_Call/?snr=1_7_7_151_150_2,"24 Mar, 2016"
